City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,San Matias,GA,83.97,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
4,Moorhead,GA,85.98,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
7,Kapaa,GA,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Hilo,GA,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Dwarka,GA,82.8,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
24,Anloga,GA,75.25,few clouds,5.7947,0.8973,Pin Drop Hotel
31,Alta Floresta,GA,80.33,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
41,Sabi,GA,75.38,heavy intensity rain,13.2333,-14.2,
45,Itarema,GA,78.96,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
50,Atuona,GA,77.4,few clouds,-9.8,-139.0333,Villa Enata
60,Tabou,GA,75.43,overcast clouds,4.423,-7.3528,hotêl doufoulougou
63,Yarmouth,GA,81.61,mist,41.7057,-70.2286,Blue Rock Resort
67,Puerto Ayora,GA,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Balykshi,GA,75.2,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
69,Jamestown,GA,83.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Katsuura,GA,80.62,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
76,Singapore,GA,78.84,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
79,Kirakira,GA,82.17,overcast clouds,-10.4544,161.9205,SanBiz Lodge
81,Inirida,GA,77.22,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
84,Jeremie,GA,84.97,broken clouds,18.65,-74.1167,Auberge’Inn
86,Labuhan,GA,75.2,overcast clouds,-6.8844,112.2051,DoubleFAG
89,Poum,GA,77.32,overcast clouds,-20.2333,164.0167,
90,Barra,GA,76.24,few clouds,-11.0894,-43.1417,Pousada Bahia
91,Hithadhoo,GA,80.51,moderate rain,-0.6,73.0833,Scoop Guest House
92,Kavieng,GA,81.57,light rain,-2.5744,150.7967,Nusa Island Retreat
93,Lengshuitan,GA,77.54,few clouds,26.4111,111.5956,Jialong Hotel
96,Sanbu,GA,75.06,clear sky,33.4594,119.1453,Feiyang Hotel
99,Aktau,GA,77.58,broken clouds,43.65,51.2,Silk Way Hotel
108,Georgetown,GA,80.89,few clouds,5.4112,100.3354,Cititel Penang
113,Pacific Grove,GA,81.55,clear sky,36.6177,-121.9166,Lovers Point Inn
115,Zaoyang,GA,79.21,overcast clouds,32.1272,112.7542,Shanghai Hotel
120,Norman Wells,GA,76.14,scattered clouds,65.282,-126.8329,Heritage Hotel
126,Puerto Escondido,GA,85.15,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
129,Namatanai,GA,81.59,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
131,Salalah,GA,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
132,Pitogo,GA,78.21,scattered clouds,13.7847,122.0881,Ricronald
133,Santa Rosa,GA,79.02,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
135,Lufilufi,GA,83.79,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
